date,home_team_api_id,away_team_api_id,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,betting_odds_home_avrg,betting_odds_draw_avrg,betting_odds_away_avrg,home_team_rating_avrg,away_team_rating_avrg,home_prev_5_goal_diff,away_prev_5_goal_diff,match_outcome
2008-09-27,8668,8650,4.6,9.0,6.4,9.2,11.6,10.2,1.2,1.4,0.0,0.0,16.6,29.2,5.4,10.8,51.2,57.2,3.533333333333333,3.2055555555555557,2.1,78.9090909090909,82.18181818181819,-2.0,3.0,2
2008-09-27,10194,8455,2.0,7.2,4.8,8.2,13.4,13.0,2.0,1.4,0.2,0.2,18.6,20.4,3.6,6.4,49.8,53.4,9.11111111111111,4.473333333333333,1.3533333333333333,70.18181818181819,84.0909090909091,-3.0,7.0,2
2008-10-04,8659,9879,5.6,5.8,6.4,6.8,14.0,13.4,1.8,1.4,0.0,0.0,17.8,17.8,6.8,4.8,47.0,53.8,2.238888888888889,3.2277777777777774,3.1722222222222225,70.54545454545455,73.9090909090909,-2.0,-1.0,1
2008-10-05,8455,10252,8.6,4.4,7.2,5.0,13.2,9.6,1.6,1.6,0.2,0.0,18.0,15.8,5.8,6.4,52.0,49.8,1.4699999999999998,3.9166666666666665,7.277777777777778,83.81818181818181,78.81818181818181,5.0,2.0,1
2008-10-05,8462,10194,4.0,3.0,5.0,4.0,12.8,11.8,1.6,2.0,0.0,0.2,12.0,16.0,3.6,4.0,39.6,47.6,1.6544444444444446,3.511111111111111,5.533333333333333,75.45454545454545,70.36363636363636,-6.0,-3.0,1
2008-10-05,8668,10261,4.6,4.0,5.8,5.8,13.2,12.4,1.4,1.0,0.2,0.2,17.2,15.0,6.2,4.4,50.8,48.2,1.7455555555555557,3.427777777777778,4.800000000000001,78.63636363636364,76.54545454545455,-3.0,-5.0,0
2008-10-05,8654,8559,6.8,6.0,6.4,6.2,14.0,13.4,1.2,2.0,0.0,0.0,16.4,21.6,6.0,5.8,50.2,39.0,1.8022222222222222,3.3166666666666664,4.655555555555555,76.36363636363636,74.36363636363636,6.0,-6.0,2
2008-10-05,8586,8667,7.0,3.4,6.4,4.4,14.0,15.6,1.4,1.0,0.0,0.0,27.0,13.4,8.2,4.2,51.8,44.2,1.7000000000000002,3.572222222222222,4.955555555555556,78.36363636363636,70.81818181818181,-4.0,-3.0,2
2008-10-18,10260,8659,9.2,6.4,6.6,6.8,14.0,14.2,2.6,2.2,0.0,0.0,18.8,19.4,6.2,7.4,59.6,50.4,1.1999999999999997,5.966666666666667,14.555555555555555,82.36363636363636,70.72727272727273,4.0,0.0,1
2008-10-18,9825,8668,9.8,4.4,10.8,6.6,9.8,13.6,1.2,1.4,0.0,0.2,24.8,20.4,11.0,5.8,58.2,47.2,1.3688888888888888,4.326666666666666,9.166666666666666,80.9090909090909,77.9090909090909,4.0,-4.0,1
2008-10-18,8650,8528,8.4,6.0,7.8,8.0,13.0,11.6,1.4,1.8,0.0,0.0,29.6,20.8,8.8,5.8,55.2,53.4,1.3611111111111112,4.321111111111112,9.444444444444445,81.27272727272727,72.45454545454545,4.0,5.0,1
2008-10-18,10252,8462,4.8,4.8,5.6,5.6,11.6,12.6,2.2,1.4,0.0,0.0,15.8,13.0,5.0,3.4,49.2,44.0,1.8133333333333335,3.2999999999999994,4.588888888888889,79.9090909090909,75.27272727272727,1.0,-1.0,0
2008-10-18,8549,8455,5.8,10.8,5.6,9.0,12.6,12.2,1.4,1.2,0.0,0.2,18.4,21.6,4.2,5.8,47.4,51.8,6.166666666666667,3.611111111111111,1.5844444444444443,71.54545454545455,81.18181818181819,0.0,6.0,2
2008-10-19,8667,8654,3.6,6.8,4.8,6.8,15.4,14.2,1.2,1.6,0.0,0.0,11.6,17.6,3.6,6.2,42.4,49.8,2.43,3.2222222222222223,2.881111111111111,70.81818181818181,76.54545454545455,-2.0,3.0,1
2008-10-19,10194,8586,3.4,8.8,3.6,7.4,11.8,15.0,2.4,2.0,0.2,0.0,17.0,24.2,4.4,8.2,47.0,54.6,3.2055555555555557,3.216666666666667,2.2333333333333334,69.45454545454545,79.72727272727273,-5.0,-4.0,1
2008-10-25,8659,8667,5.4,3.4,5.4,5.2,14.6,13.6,1.8,1.4,0.0,0.0,15.2,11.4,5.4,2.8,45.4,42.0,2.227777777777778,3.238888888888889,3.138888888888889,70.54545454545455,70.81818181818181,-3.0,4.0,2
2008-10-25,8668,10260,3.8,9.8,5.0,6.6,15.4,13.4,2.0,2.2,0.2,0.0,18.0,22.6,5.6,8.6,43.2,62.4,6.577777777777778,3.7333333333333334,1.528888888888889,79.18181818181819,83.81818181818181,-3.0,7.0,0
2008-10-26,8456,10194,5.6,3.8,6.6,3.6,14.8,11.0,1.4,1.8,0.2,0.0,14.4,18.6,6.0,4.6,53.2,45.6,1.4544444444444447,4.045555555555556,7.027777777777778,77.27272727272727,69.72727272727273,2.0,-3.0,1
2008-10-26,8462,9879,4.6,6.0,5.0,7.2,14.2,14.4,1.6,1.6,0.0,0.0,10.8,18.4,3.0,4.8,45.2,54.2,1.78,3.3555555555555556,4.666666666666667,75.36363636363636,74.54545454545455,0.0,-1.0,0
2008-10-26,8455,8650,11.4,9.0,8.6,8.2,12.0,12.6,0.6,1.2,0.2,0.0,22.0,30.8,6.4,8.0,53.8,56.2,1.8788888888888888,3.211111111111111,4.317777777777778,83.9090909090909,81.9090909090909,11.0,5.0,2
2008-10-26,8654,9825,7.4,9.6,7.8,9.8,14.0,9.4,1.6,1.6,0.0,0.0,17.8,25.8,5.0,11.0,49.6,57.2,5.638888888888889,3.605555555555556,1.6133333333333337,75.27272727272727,80.27272727272727,-1.0,5.0,2
2008-10-26,8528,10252,6.4,5.6,7.8,6.2,12.0,13.8,2.0,2.4,0.0,0.0,20.0,17.4,5.4,6.2,51.0,51.8,2.5611111111111113,3.188888888888888,2.6888888888888887,71.63636363636364,79.18181818181819,-1.0,1.0,2
2008-10-26,8586,8559,9.6,6.6,7.6,5.8,14.6,13.0,2.4,2.2,0.4,0.0,21.8,20.0,6.8,6.2,55.4,40.4,1.9355555555555553,3.3,3.9111111111111114,78.63636363636364,74.72727272727273,-5.0,-3.0,1
2008-10-28,10261,8659,4.8,6.8,4.4,6.6,13.8,13.2,1.4,1.6,0.4,0.0,16.0,16.4,4.4,7.2,48.8,45.2,1.8633333333333333,3.338888888888889,4.027777777777778,76.54545454545455,70.72727272727273,-6.0,-6.0,1
2008-10-29,8559,8668,5.0,5.2,5.6,5.2,11.4,16.0,2.4,2.4,0.0,0.2,17.4,18.0,5.6,5.2,39.4,46.8,2.467777777777778,3.2055555555555553,2.718888888888889,75.0,79.18181818181819,-5.0,-4.0,2
2008-10-29,8549,8456,5.2,6.6,5.8,6.0,13.0,14.4,1.6,1.6,0.0,0.2,16.4,13.8,3.8,5.4,44.8,55.0,2.6366666666666667,3.238888888888889,2.4777777777777774,74.54545454545455,78.18181818181819,-6.0,7.0,1
2008-10-29,9825,8586,10.0,8.2,9.6,8.0,10.0,13.0,2.2,2.2,0.0,0.4,24.0,18.8,11.8,4.8,58.8,55.2,1.4255555555555555,4.033333333333333,7.277777777777778,81.81818181818181,79.0909090909091,8.0,-2.0,0
2008-10-29,10260,8654,11.0,6.2,7.8,7.4,12.8,12.6,2.2,1.8,0.0,0.2,23.2,16.0,9.6,4.2,62.2,48.8,1.202222222222222,5.588888888888889,13.88888888888889,81.54545454545455,75.36363636363636,8.0,-2.0,1
2008-10-29,8650,8462,7.4,6.4,8.2,6.8,13.6,13.2,1.8,1.6,0.0,0.0,26.8,12.8,7.4,4.0,51.0,47.8,1.3499999999999999,4.355555555555556,8.777777777777779,80.18181818181819,75.63636363636364,5.0,-3.0,1
2008-10-29,9879,8528,6.6,5.8,7.4,8.2,13.0,13.0,1.2,2.0,0.0,0.0,20.0,17.8,5.8,5.6,54.0,49.4,2.301111111111111,3.216666666666667,2.9388888888888887,74.54545454545455,73.0909090909091,-2.0,-5.0,1
2008-11-01,10260,8667,11.6,4.0,8.2,5.4,10.4,13.2,1.0,1.4,0.0,0.0,23.4,11.0,9.4,3.2,64.2,42.8,1.1744444444444442,6.2444444444444445,15.555555555555555,84.63636363636364,71.0909090909091,10.0,6.0,1
2008-11-01,8668,9879,5.0,4.6,4.4,7.6,16.2,11.6,2.6,1.0,0.2,0.0,19.2,16.2,4.6,3.8,45.4,51.2,1.7044444444444444,3.4555555555555553,4.981111111111111,79.18181818181819,74.54545454545455,-3.0,-1.0,1
2008-11-01,8549,8654,5.4,6.0,5.2,6.2,13.4,13.8,1.6,2.0,0.0,0.2,16.6,14.4,3.8,4.0,45.2,45.0,1.9744444444444444,3.2888888888888888,3.7277777777777774,74.54545454545455,72.27272727272727,-3.0,-6.0,0
2008-11-01,9885,8686,7.4,9.0,8.2,9.0,18.2,14.2,1.6,1.6,0.0,0.0,15.0,19.4,3.8,5.2,53.0,54.8,2.045555555555556,3.0222222222222226,3.6222222222222222,80.72727272727273,81.9090909090909,0.0,-2.0,1
2008-11-01,8455,8472,11.6,4.8,9.2,4.4,13.2,11.0,1.0,1.2,0.0,0.0,21.6,18.8,6.2,5.2,57.4,47.0,1.192222222222222,6.022222222222222,14.222222222222221,84.0909090909091,72.54545454545455,8.0,1.0,1
2008-11-01,10194,9825,4.0,9.4,3.4,10.4,12.4,9.2,1.4,2.0,0.0,0.0,18.6,24.6,5.0,11.4,42.0,60.6,7.722222222222222,4.197777777777778,1.411111111111111,69.54545454545455,79.9090909090909,-5.0,5.0,1
2008-11-01,8462,8528,6.2,5.6,5.8,7.2,12.8,13.4,2.0,2.0,0.0,0.0,11.4,18.4,3.2,5.2,48.8,48.4,1.9044444444444442,3.3111111111111113,3.981111111111111,76.72727272727273,73.27272727272727,2.0,-7.0,2
2008-11-01,8659,8655,6.8,5.0,7.2,6.0,13.6,12.8,2.2,2.2,0.0,0.0,15.6,19.6,7.2,4.2,43.6,48.0,2.464444444444444,3.25,2.747777777777778,70.54545454545455,73.0,-8.0,-3.0,0
2008-11-01,8586,8650,7.4,6.6,7.8,7.4,12.8,14.4,2.6,1.6,0.4,0.0,18.2,18.8,4.4,4.8,53.8,49.0,3.4444444444444446,3.283333333333333,2.0666666666666664,78.45454545454545,82.0909090909091,-2.0,6.0,1
2008-11-02,8559,8456,6.6,7.8,6.0,6.2,12.4,14.6,2.4,2.2,0.0,0.2,17.8,10.4,5.4,4.4,42.8,54.2,2.961111111111111,3.2444444444444445,2.3155555555555556,74.45454545454545,77.72727272727273,-5.0,-1.0,1
2008-11-03,10261,10252,5.4,4.6,5.0,5.4,14.4,13.0,1.0,2.0,0.4,0.0,17.6,17.2,5.6,5.4,49.6,53.4,2.897777777777778,3.233333333333333,2.404444444444444,76.45454545454545,79.54545454545455,-2.0,4.0,1
2008-11-08,8654,8668,5.8,5.6,6.0,4.6,14.2,14.6,2.6,2.0,0.2,0.0,14.4,22.4,4.0,4.4,46.0,46.4,2.488888888888889,3.233333333333333,2.783333333333333,75.27272727272727,78.18181818181819,-7.0,0.0,2
2008-11-08,8667,8559,3.8,6.8,5.2,6.2,13.4,12.4,1.8,2.2,0.0,0.0,10.2,17.2,2.6,5.2,43.4,45.2,2.1444444444444444,3.2277777777777774,3.427777777777778,70.81818181818181,73.9090909090909,5.0,-1.0,2
2008-11-08,8528,10194,6.6,4.2,7.0,3.4,13.4,12.6,2.0,2.0,0.0,0.0,20.4,19.2,5.4,5.0,49.2,43.8,1.771111111111111,3.3833333333333337,4.716666666666667,73.27272727272727,69.54545454545455,-7.0,-4.0,0
2008-11-08,8472,8462,4.0,6.8,4.0,7.4,10.6,11.6,1.4,1.2,0.0,0.0,18.0,13.4,5.0,4.0,46.8,48.8,2.3122222222222226,3.227777777777778,3.0555555555555554,72.72727272727273,77.54545454545455,-3.0,-1.0,2
2008-11-08,8650,8659,6.0,6.8,8.6,7.6,12.4,11.4,1.4,2.2,0.0,0.0,19.2,16.0,4.8,6.6,49.0,45.6,1.2166666666666668,5.577777777777778,14.666666666666666,81.54545454545455,70.72727272727273,3.0,-7.0,1
2008-11-08,9825,10260,9.2,9.2,9.6,7.8,8.6,11.2,2.0,1.4,0.2,0.0,23.2,19.8,9.2,8.0,60.2,58.6,3.0666666666666664,3.1722222222222225,2.3400000000000003,80.0909090909091,84.36363636363636,2.0,9.0,1
2008-11-09,10252,8549,4.0,6.2,5.2,4.2,14.0,12.6,2.0,1.8,0.0,0.0,18.4,17.4,5.4,3.8,52.2,46.4,1.6877777777777778,3.5944444444444446,5.033333333333333,79.36363636363636,74.0,1.0,-4.0,2
2008-11-09,8456,8586,7.6,7.0,6.2,7.4,14.6,13.8,1.6,2.2,0.2,0.4,9.6,16.2,4.0,3.8,53.4,52.6,2.2,3.2277777777777774,3.272222222222222,78.18181818181819,79.18181818181819,-2.0,1.0,2
2008-11-09,9879,10261,5.0,5.8,8.2,4.0,12.2,15.2,1.0,1.8,0.0,0.2,16.0,16.8,4.2,5.0,49.8,50.4,2.3044444444444445,3.227777777777778,3.0500000000000003,74.54545454545455,76.0909090909091,-1.0,1.0,1
2008-11-15,8654,8462,7.0,5.2,5.2,6.6,13.2,12.0,2.0,1.4,0.2,0.0,14.6,14.0,4.4,4.2,47.0,46.4,2.4444444444444446,3.2055555555555557,2.7655555555555558,73.18181818181819,76.63636363636364,-7.0,-1.0,0
2008-11-15,10260,10194,9.4,3.2,8.2,3.2,11.0,13.8,1.6,2.2,0.0,0.0,19.0,18.4,8.4,4.6,56.0,44.0,1.1422222222222222,6.827777777777778,16.444444444444443,82.0909090909091,69.54545454545455,6.0,-2.0,1
2008-11-15,9825,10252,8.0,4.6,8.6,5.4,10.2,14.8,2.2,2.2,0.2,0.0,21.0,20.2,7.2,6.0,58.2,52.8,1.488888888888889,3.7944444444444443,6.666666666666667,80.0909090909091,79.27272727272727,4.0,-1.0,2
2008-11-15,8655,8472,4.2,4.0,5.2,4.0,13.8,9.4,2.2,1.4,0.0,0.0,17.2,17.8,4.0,5.4,46.4,48.8,2.038888888888889,3.238888888888889,3.4888888888888894,74.72727272727273,73.45454545454545,-4.0,-5.0,2
2008-11-15,9879,8586,4.6,5.0,6.8,6.2,12.0,13.2,0.6,1.8,0.0,0.6,18.0,15.6,5.0,2.2,48.8,49.8,3.0777777777777775,3.227777777777778,2.233333333333333,74.36363636363636,79.72727272727273,1.0,3.0,1
2008-11-15,8559,8650,7.2,6.4,5.8,7.8,13.0,11.8,2.0,1.6,0.0,0.0,17.6,15.8,5.8,4.0,50.0,49.2,5.583333333333333,3.561111111111111,1.6022222222222224,74.72727272727273,81.9090909090909,2.0,5.0,2
